,"Beef, Central U.S.",,,,"Pork, Central U.S.",,,,,"Lamb, East Coast",Broilers,,,,,,,Turkeys,,,,,"Eggs, Grade A, large",
,Boxed beef cutout,,"Boneless beef, 90 percent, fresh","Imported boneless beef, 90%, frozen",Pork cutout composite,"Loins, 14-19 lb BI 1/4"" trim","Bellies, 10-12 lb skin on trmd.","Hams, 20-23 lb BI trmd. TS1","Trimmings, 72 percent, fresh","55-65 lb, Choice",National Comp.,12-City Comp.,Georgia dock,  Northeast,,,,,,,,,Combined regional,New York
,"Choice 1-3, 600 - 900 lbs.","Select 1-3, 600 - 900 lbs.",,,,,,,,,,,,"Breast, boneless","Breast, Ribs on","Legs, whole",Leg quarters,"Hens, 8-16 lb","Toms, 16-24 lb","Breast, 4-8 lb",Drumsticks,"Wings, full cut",,
Period,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Cents/lb,,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/doz,Cents/doz
Nov-12,194.22,174.45,205.24,214.38,83.72,105.20,0,77.54,78.44,281.29,0,95.42,96.46,130.32,107.74,69.98,51.33,108.86,110.46,141.20,62.06,45.04,130.45,135.10
Dec-12,194.25,176.23,206.96,216.50,83.48,105.56,0,74.92,59.50,282.97,0,97.63,97.48,130.21,103.50,65.43,50.63,99.08,100.36,129.35,60.52,44.29,130.10,131.68
Jan-13,191.12,182.73,211.13,216.33,84.13,107.12,0,71.87,62.59,281.93,101.48,0,99.01,136.51,109.57,66.91,50.28,96.27,96.27,122.58,59.82,44.40,119.66,128.33
Feb-13,183.60,180.97,213.80,214.38,81.85,111.73,0,,61.67,284.96,101.80,0,100.01,140.00,116.28,67.53,50.20,95.00,95.30,123.17,60.75,44.41,116.11,117.79
Mar-13,193.79,192.59,218.44,207.17,78.36,108.86,0,60.48,53.00,289.63,107.27,0,101.58,147.19,120.50,67.69,51.68,96.58,96.53,122.58,63.43,49.90,121.19,134.43
Apr-13,191.01,185.50,212.16,207.88,84.81,106.77,151.44,69.77,50.51,286.06,107.10,0,102.59,160.62,123.79,72.29,52.96,97.30,96.45,125.86,64.61,47.87,105.22,104.82
May-13,205.64,190.62,200.11,196.70,92.25,120.28,161.60,68.47,58.99,287.10,110.40,0,104.15,194.87,135.85,73.35,53.50,97.59,96.88,123.77,67.20,43.02,110.10,122.55
Jun-13,200.83,185.07,198.91,187.00,103.26,138.64,175.55,77.90,82.56,281.50,108.28,0,105.47,189.21,143.99,75.21,52.78,98.18,97.11,124.13,71.55,45.52,94.91,102.40
Jul-13,191.87,184.67,199.84,189.60,102.19,129.84,163.12,87.46,94.50,272.41,99.04,0,105.64,179.72,141.46,71.78,51.17,99.09,98.20,121.43,75.47,46.79,110.53,114.95
Aug-13,191.66,183.32,203.62,190.63,101.71,128.96,177.24,87.69,74.91,267.23,91.12,0,104.69,178.90,134.50,70.72,51.43,99.28,100.85,126.42,74.66,51.83,113.21,121.59
Sep-13,194.01,178.30,204.87,194.63,98.12,116.92,149.62,87.46,67.27,265.23,91.51,0,104.27,149.30,124.74,72.22,52.25,101.22,101.79,127.79,82.11,77.20,113.84,120.35
Oct-13,202.33,186.56,192.19,197.38,94.29,115.78,134.99,90.92,82.39,275.32,90.02,0,104.25,132.25,116.71,64.26,45.24,106.75,105.68,119.69,107.96,71.97,112.65,121.83
Nov-13,202.01,188.90,191.41,202.06,91.84,107.25,128.41,87.00,73.80,269.24,93.72,0,103.74,126.32,112.99,58.96,43.50,105.64,104.49,125.77,100.61,69.28,141.64,151.21
Dec-13,199.77,189.15,198.74,206.25,87.42,106.24,127.35,81.27,64.03,317.67,94.60,0,103.75,126.15,108.82,59.64,41.97,103.83,101.80,120.49,101.57,67.52,158.88,156.05
Jan-14,221.17,218.53,218.62,206.13,86.84,115.27,124.07,75.35,70.90,327.99,96.45,0,104.06,125.77,109.57,59.54,42.46,99.78,97.16,118.25,99.11,68.01,121.65,128.10
Feb-14,214.43,212.76,230.91,209.88,95.80,128.19,137.58,83.70,90.10,331.47,92.45,0,103.71,126.49,103.23,59.04,41.99,99.88,98.13,122.16,91.20,65.80,142.40,148.53
Mar-14,239.03,233.97,259.73,221.88,122.60,165.28,176.77,99.82,121.92,336.97,106.26,0,105.14,145.25,103.27,61.56,44.16,102.34,102.26,120.47,92.08,67.60,139.29,151.33
Apr-14,229.14,218.42,251.34,215.70,122.73,147.55,191.73,103.06,129.60,340.52,110.11,0,107.18,171.76,115.54,66.97,47.90,103.52,104.14,116.14,94.56,77.58,149.47,149.95
May-14,228.96,217.86,244.24,212.50,113.87,135.39,156.63,105.67,113.76,340.16,117.59,0,110.03,184.99,127.95,68.62,49.21,106.15,106.13,121.31,96.26,78.29,121.54,130.00
Jun-14,236.60,228.46,250.41,220.44,125.07,153.75,173.03,123.85,131.96,335.84,113.40,0,111.70,198.77,135.96,67.86,49.34,107.18,107.53,128.88,100.94,75.52,121.56,123.86
Jul-14,252.87,246.89,287.01,254.10,133.58,167.79,174.29,143.57,143.07,335.04,107.16,0,111.93,197.87,134.97,65.94,51.29,108.56,108.73,124.18,103.41,73.18,126.85,137.05
Aug-14,254.83,246.45,296.63,281.69,113.66,150.01,139.46,118.74,113.57,336.05,99.69,0,111.85,183.78,130.79,57.58,49.92,109.15,109.23,123.40,99.93,76.14,121.67,127.70
Sep-14,246.14,232.61,299.72,299.67,110.82,153.69,120.57,119.35,100.84,339.31,107.05,0,112.24,187.48,129.09,54.78,45.76,112.79,112.20,125.97,105.60,79.29,118.68,123.29
Oct-14,246.80,233.66,295.74,292.80,111.71,152.92,127.81,121.85,101.77,345.29,106.68,0,113.03,170.11,129.51,55.48,46.50,116.20,116.81,129.96,110.73,86.23,122.22,128.00
Nov-14,253.18,246.64,295.66,287.50,94.59,117.50,111.33,103.13,77.40,352.70,103.68,0,112.86,143.92,119.74,56.61,45.77,118.78,119.26,129.98,110.17,83.77,150.84,171.50
Dec-14,247.35,235.91,296.25,273.17,89.90,115.82,105.57,85.94,69.43,354.50,98.07,0,112.74,132.86,119.52,54.57,45.68,106.79,106.67,128.84,92.02,70.54,193.72,188.62
Jan-15,254.45,245.97,302.90,256.00,83.28,108.25,122.30,73.24,64.65,356.50,99.62,0,111.22,135.47,118.30,51.17,41.58,99.12,99.15,127.90,73.94,59.91,115.73,125.95
Feb-15,241.30,237.05,293.54,237.94,72.57,99.88,102.97,64.53,50.95,351.36,92.56,0,112.71,139.97,117.58,44.64,36.76,99.12,99.18,127.02,62.73,53.94,139.97,145.26
Mar-15,247.62,245.29,294.63,233.50,67.96,100.25,81.14,53.89,39.91,350.71,98.88,0,112.99,140.74,117.01,44.83,36.71,100.57,100.68,125.92,62.63,59.20,154.77,169.52
Apr-15,257.44,249.34,296.35,241.70,67.58,101.55,75.33,53.37,47.79,354.77,104.79,0,113.67,153.47,118.87,48.08,33.34,104.06,104.23,125.93,62.70,60.54,127.07,122.05
May-15,260.25,247.92,296.82,232.38,82.56,124.08,82.51,69.21,68.00,344.80,106.71,0,114.44,163.91,119.00,41.35,33.67,108.82,110.23,130.83,59.32,58.11,147.10,171.70
Jun-15,250.06,243.29,294.41,226.44,84.84,112.35,108.15,64.04,47.79,346.34,101.17,0,114.36,146.67,122.59,37.95,29.17,112.53,116.60,136.53,59.44,58.23,229.60,217.09
Jul-15,238.91,235.59,291.24,238.10,83.33,111.13,0,58.78,65.65,342.17,91.01,0,114.98,137.30,117.76,35.24,26.90,120.86,121.61,140.76,59.87,59.84,208.12,223.68
Aug-15,241.81,233.21,280.67,245.50,88.37,107.61,184.67,72.53,49.08,343.11,82.61,0,114.77,140.20,103.97,36.62,24.93,126.62,128.50,143.09,60.13,56.65,267.47,260.67
Sep-15,227.68,220.12,263.23,236.90,84.41,102.46,166.82,67.42,53.56,342.43,77.40,0,114.54,130.32,97.40,36.15,24.55,131.65,134.00,144.90,60.07,55.05,223.27,222.67
Oct-15,212.10,205.90,233.68,217.88,86.43,103.50,165.54,71.54,60.43,341.95,74.09,0,116.06,110.48,90.27,32.13,23.67,135.68,136.36,147.92,60.66,54.40,160.40,166.00
Nov-15,210.63,200.37,213.68,204.00,74.24,88.44,127.35,66.91,49.95,342.70,75.37,0,113.14,105.98,92.00,32.40,23.60,130.63,132.83,147.38,59.10,53.55,196.47,209.05
Dec-15,207.46,198.81,199.80,195.00,72.00,85.76,114.96,65.83,36.99,343.50,82.05,0,113.06,103.33,92.60,30.76,23.97,123.96,127.93,146.81,56.42,48.91,160.73,147.23
Jan-16,227.76,222.05,207.46,189.25,73.26,100.14,128.18,58.79,48.17,341.42,87.90,0,112.83,107.12,97.38,33.41,25.02,114.71,121.39,138.03,51.87,44.26,112.49,133.47
Feb-16,217.46,213.28,210.09,204.38,76.03,93.52,0,60.71,58.45,337.72,81.52,0,112.08,108.40,101.37,36.40,27.78,114.77,115.48,135.60,49.01,40.66,139.38,130.55
Mar-16,224.61,215.75,217.45,207.75,76.16,90.52,0,55.25,55.54,333.79,84.46,0,111.77,108.79,102.38,38.49,30.33,114.73,114.14,133.46,49.32,29.35,98.23,100.57
Apr-16,218.88,209.58,219.14,201.25,79.52,89.61,134.91,64.45,72.03,325.39,88.41,0,111.75,116.62,104.93,40.85,34.09,116.17,126.34,134.15,52.31,24.05,66.34,75.29
May-16,216.91,203.34,218.50,205.38,85.62,111.77,119.13,67.08,69.48,326.65,93.72,0,0,123.79,112.84,41.07,36.73,116.00,128.07,132.43,53.48,21.76,58.13,63.43
Jun-16,219.85,199.80,217.93,207.45,87.96,112.56,130.09,75.28,74.62,327.59,96.93,0,0,115.07,114.15,48.14,34.29,117.21,129.03,132.57,50.24,20.33,52.31,65.05
Jul-16,203.88,192.86,203.88,215.25,87.77,104.71,146.67,79.41,80.14,305.59,88.62,0,0,129.21,108.53,41.94,34.05,119.45,125.74,127.19,38.61,16.70,74.58,75.05
Aug-16,199.30,192.09,214.31,210.80,76.29,98.27,115.14,70.85,66.38,329.50,79.71,0,0,142.84,101.41,44.04,32.88,118.95,123.71,125.93,40.25,24.10,61.99,72.20
Sep-16,187.77,180.61,204.63,202.69,72.79,110.10,96.21,71.60,50.74,335.25,76.68,0,0,133.84,103.81,47.45,33.02,123.57,127.09,123.55,52.28,27.92,68.93,70.33
Oct-16,182.29,171.79,193.22,198.00,73.06,89.52,127.29,55.07,42.14,345.50,70.73,0,0,116.06,102.72,44.16,33.25,121.84,120.38,132.98,56.25,28.53,48.20,61.90
Nov-16,186.27,170.78,193.08,214.15,73.80,76.73,120.69,67.25,44.13,344.51,79.28,0,0,99.01,100.76,39.51,33.57,122.54,119.39,130.07,60.64,29.49,61.84,69.65
Dec-16,195.23,181.84,192.17,208.63,78.07,85.90,121.10,75.05,53.81,341.85,84.04,0,0,98.16,103.25,39.18,32.08,105.33,106.42,129.94,58.74,30.03,104.98,113.67
Jan-17,194.40,189.54,202.29,207.81,80.67,91.73,136.39,55.74,70.17,338.75,85.58,0,0,101.00,100.81,39.31,31.48,99.81,100.13,119.60,46.09,28.12,84.60,84.70
Feb-17,191.42,189.17,208.51,214.25,83.75,90.66,0,58.15,62.21,339.23,85.07,0,0,108.90,101.66,40.51,33.93,100.56,100.13,121.22,46.29,32.31,73.21,72.95
Mar-17,216.36,209.54,215.13,215.00,79.86,99.36,158.66,60.54,67.87,339.50,94.49,0,0,125.94,110.51,44.61,37.88,100.90,100.70,120.54,48.99,45.30,67.63,82.26
Apr-17,213.78,201.81,217.53,220.66,74.83,88.58,136.79,60.25,68.67,0,96.91,0,0,129.90,121.96,50.24,38.81,99.25,99.59,117.30,50.09,40.29,74.22,78.25
May-17,243.43,220.15,224.55,222.50,84.79,106.12,139.18,67.75,80.91,0,108.97,0,0,151.42,134.85,51.86,40.74,99.44,99.75,121.00,58.18,39.52,62.11,71.32
Jun-17,244.16,218.07,230.69,224.38,97.12,118.21,176.76,69.53,96.23,0,109.02,0,0,163.80,144.42,53.12,41.35,98.54,98.69,119.51,68.96,44.25,64.33,74.59
Jul-17,212.22,199.17,233.12,228.93,102.97,118.69,216.28,78.14,90.88,0,103.8,0,0,156.62,143.53,52.53,43.32,97.61,98.21,109.77,67.75,53.20,77.61,89.10
Aug-17,197.48,193.88,232.60,219.94,91.02,100.58,170.18,67.81,65.91,0,92.47,0,0,145.98,131.87,52.53,43.35,96.38,96.00,99.14,68.48,60.73,86.55,94.70
Sep-17,192.79,189.39,225.29,213.69,77.36,94.97,116.74,63.87,60.23,0,88.38,0,0,133.97,120.05,48.50,41.83,96.59,94.86,114.29,69.47,62.32,111.69,122.50
Oct-17,198.65,190.09,216.36,214.50,75.11,89.85,107.75,67.00,62.06,0,84.84,0,0,112.69,103.34,41.93,38.96,94.97,93.97,115.00,73.80,60.23,119.97,113.62
Nov-17,209.08,191.00,212.53,217.75,81.55,85.62,135.04,66.81,62.74,0,86.06,0,0,103.93,103.21,44.80,38.59,88.76,88.74,104.00,77.91,60.09,137.39,156.05
Dec-17,203.09,186.78,210.93,215.42,79.19,82.96,142.64,59.97,63.38,0,87.33,0,0,103.52,102.51,42.63,35.78,80.16,79.26,104.24,67.75,55.63,176.28,171.45
Jan-18,207.94,201.62,213.91,215.61,80.90,83.63,137.69,64.21,37.25,0,94.00,0,0,106.20,114.34,46.50,36.20,79.10,79.26,106.02,59.71,49.36,128.05,136.57
Feb-18,213.66,208.35,216.17,218.94,78.22,89.53,157.64,60.28,65.39,0,91.08,0,0,105.20,117.06,49.13,38.85,79.64,79.66,108.74,59.84,48.33,158.68,163.79
Mar-18,223.50,215.41,217.87,216.89,72.89,88.98,133.63,55.33,63.93,0,101.97,0,0,123.32,121.50,50.64,39.30,79.31,79.74,97.27,60.74,46.98,223.48,238.36
Apr-18,215.29,202.81,218.03,209.31,68.01,84.45,111.96,54.87,58.20,0,108.73,0,0,136.36,131.82,50.78,40.07,79.32,79.36,95.07,60.65,46.62,189.83,161.86
May-18,229.34,207.19,220.12,209.81,73.87,96.25,110.14,53.34,63.31,0,117.59,0,0,127.05,132.40,50.87,39.88,79.53,80.37,94.07,61.45,46.91,99.63,98.32
Jun-18,221.03,202.51,221.27,207.79,83.34,101.34,157.22,61.67,79.95,0,118.92,0,0,117.65,136.01,48.56,36.47,79.98,80.98,96.44,64.76,47.04,96.77,113.05
Jul-18,206.32,197.80,219.17,203.75,81.13,98.72,0,55.57,66.04,0,110.60,0,0,127.09,131.90,46.07,34.05,79.11,80.32,105.86,67.45,48.46,141.19,134.71
Aug-18,209.15,200.72,212.08,199.30,68.35,98.35,106.71,57.35,50.17,0,87.33,0,0,112.51,119.48,45.66,31.42,80.03,79.75,95.64,68.52,48.73,112.51,118.57
Sep-18,206.07,196.58,203.00,195.44,74.98,107.17,109.96,57.37,54.86,0,83.13,0,0,95.41,110.71,41.30,30.30,82.09,79.87,106.56,70.47,50.09,101.91,109.05
Oct-18,208.18,195.65,190.53,185.14,78.60,92.36,0,53.69,56.52,0,83.56,0,0,91.25,104.91,41.41,30.09,82.00,79.82,105.78,71.75,54.08,108.73,116.39
Nov-18,214.59,199.30,191.72,187.75,81.13,98.72,181.14,55.57,66.04,0,86.91,0,0,85.30,109.29,42.12,28.03,82.24,79.50,106.33,71.51,55.78,125.18,129.95
Dec-18,213.60,203.80,195.63,198.60,71.62,75.40,131.26,52.32,47.24,0,89.75,0,0,88.72,111.90,41.68,28.86,79.85,76.88,102.71,71.68,53.69,128.42,130.50
Jan-19,215.03,209.66,201.23,205.39,69.36,79.70,146.10,48.42,53.96,0,98.90,0,0,100.86,119.97,51.52,29.78,80.96,80.59,99.29,67.97,52.66,114.89,116.19
Feb-19,217.81,212.84,209.65,211.75,62.80,75.19,121.61,43.76,47.39,0,89.78,0,0,107.06,122.42,50.32,31.34,83.50,83.05,109.00,65.31,52.79,112.69,109.32
Mar-19,227.45,218.80,215.42,217.56,72.36,82.42,142.66,63.16,59.09,0,93.33,0,0,113.96,120.11,59.34,39.17,83.90,82.58,105.81,65.87,52.92,91.27,96.33
Apr-19,230.30,220.08,218.89,228.78,84.69,88.03,160.07,66.82,89.06,0,97.61,0,0,127.65,119.81,59.38,41.97,84.31,83.34,106.78,64.88,54.94,75.98,76.14
May-19,223.61,210.13,222.59,221.19,85.08,101.05,138.55,77.59,83.07,0,100.89,0,0,120.11,118.40,59.50,44.73,84.74,84.74,107.56,77.07,65.22,51.06,57.68
Jun-19,221.28,203.20,223.78,226.18,80.27,103.19,123.36,73.51,87.03,0,94.63,0,0,115.97,116.42,62.03,45.44,87.38,86.08,108.97,83.31,69.02,61.44,75.20
Jul-19,214.81,191.07,222.86,227.17,77.37,98.04,122.41,72.68,77.41,0,88.24,0,0,110.99,118.68,61.34,44.72,88.26,87.84,108.20,80.76,66.34,57.01,62.55
Aug-19,230.17,206.19,223.02,223.28,83.65,92.14,0,71.31,66.68,0,80.88,0,0,105.06,114.13,61.66,44.13,90.43,89.98,109.31,72.84,61.29,75.98,92.91
Sep-19,221.35,197.46,223.47,228.50,71.01,85.29,113.37,60.75,59.32,0,76.92,0,0,93.37,103.35,60.83,39.76,93.76,93.83,107.93,72.23,62.31,94.11,90.35
Oct-19,219.70,193.63,217.80,242.78,76.42,88.61,140.82,64.86,48.49,0,78.86,0,0,86.91,100.33,58.85,34.75,96.88,96.94,112.71,73.98,63.83,67.88,78.82
Nov-19,235.53,211.52,236.78,292.17,83.41,86.24,131.25,90.53,59.25,0,78.30,0,0,88.86,104.20,56.26,32.93,99.24,98.23,109.32,75.53,63.88,133.60,150.68
Dec-19,217.24,205.50,240.25,285.83,79.20,86.68,110.06,78.54,64.21,0,84.63,0,0,98.00,103.78,64.53,37.30,97.17,95.47,109.00,76.13,64.11,129.12,122.15
Jan-20,211.87,208.91,242.17,243.63,74.72,85.62,108.16,71.83,69.33,0,90.56,0,0,92.18,104.40,64.93,38.23,95.45,95.36,112.79,75.54,65.71,79.11,88.38
Feb-20,207.60,203.51,232.27,228.72,64.92,85.04,88.40,60.93,55.63,0,80.64,0,0,88.69,99.49,63.61,39.08,97.25,97.12,112.65,73.53,62.53,104.14,107.50
Mar-20,228.05,219.52,228.92,214.13,72.75,112.98,91.46,53.37,67.75,0,79.35,0,0,112.78,109.63,64.75,36.92,99.63,99.30,111.98,71.42,59.64,145.63,202.82
Apr-20,241.94,229.65,241.70,213.29,65.80,129.14,51.13,38.41,45.63,0,53.52,0,0,91.12,92.34,54.83,33.39,101.78,101.42,116.17,69.16,57.65,211.84,180.09
May-20,405.80,386.24,288.76,246.00,105.78,192.07,101.79,41.42,127.87,0,73.75,0,0,137.50,98.84,48.61,32.63,103.92,103.75,113.98,66.41,57.33,91.13,95.65
Jun-20,242.31,228.00,269.54,256.00,68.47,88.83,104.92,34.77,96.65,0,73.60,0,0,124.01,104.10,44.29,30.88,105.39,105.50,117.39,66.55,59.42,77.13,83.14
Jul-20,203.24,193.37,241.20,230.25,67.87,74.05,107.72,46.11,82.34,0,70.41,0,0,114.82,106.44,39.80,27.63,109.56,109.40,117.00,64.12,58.10,80.84,85.00
Aug-20,216.71,201.62,225.37,228.00,72.14,82.25,113.28,44.96,81.26,0,66.08,0,0,115.20,105.38,39.88,25.97,110.90,110.60,121.07,63.28,58.27,74.39,84.86
Sep-20,220.56,208.20,219.51,226.00,84.82,81.48,0,62.63,84.02,0,63.58,0,0,98.94,97.83,43.72,23.16,113.48,112.38,124.57,65.41,60.70,89.64,97.19
Oct-20,212.41,198.21,198.58,217.20,94.09,100.89,0,66.68,86.46,0,67.70,0,0,89.21,102.77,38.46,24.90,115.74,115.87,126.32,67.50,62.23,110.44,117.24
Nov-20,228.00,209.35,199.66,225.00,81.18,80.43,0,71.22,81.80,0,76.80,0,0,89.61,104.43,42.08,25.21,112.97,114.13,128.16,74.34,69.02,109.87,114.32
Dec-20,217.82,202.28,204.45,229.00,75.21,77.82,0,63.62,73.20,0,82.47,0,0,94.15,106.38,47.88,27.63,112.20,110.07,137.20,86.01,74.29,87.06,90.10
Jan-21,216.73,205.94,217.25,230.88,80.31,88.61,144.35,62.07,79.97,0,82.29,0,0,108.84,107.56,39.25,28.78,108.76,108.21,128.78,90.55,74.65,93.85,109.74
Feb-21,236.49,224.60,226.26,239.50,88.34,90.84,154.48,70.62,86.70,0,82.97,0,0,132.75,108.29,44.83,33.50,109.66,109.42,131.01,96.19,73.49,127.62,131.74
Mar-21,231.23,222.33,230.73,237.06,101.25,103.36,0,73.25,116.97,0,86.68,0,0,141.28,112.97,49.36,37.94,111.99,110.35,138.28,95.81,73.86,135.38,141.92
Apr-21,271.67,262.92,236.46,253.31,111.17,108.46,0,86.90,124.79,0,101.50,0,0,171.92,120.92,58.70,42.74,113.55,112.68,140.91,97.34,78.22,105.91,102.55
May-21,317.59,296.31,252.27,270.13,117.46,126.13,185.04,82.07,128.31,0,105.41,0,0,212.97,124.60,61.98,43.99,118.15,117.10,139.81,110.73,94.69,84.82,91.05
